CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"120045 SENADOR GUIOMARD";29;29;30;30;30;30;30;30;30;30;30;30
"120050 SENA MADUREIRA";30;30;30;34;34;34;34;34;34;34;34;34
"120060 TARAUACA";42;42;42;42;42;42;42;42;42;42;42;42
"120070 XAPURI";34;34;34;34;34;34;34;34;34;34;34;34
"130002 ALVARAES";38;38;38;38;38;38;38;38;38;38;38;38
"130006 AMATURA";30;30;30;30;30;30;30;30;30;30;30;30
"130008 ANAMA";20;20;20;20;20;22;22;22;22;22;22;22
"130010 ANORI";32;32;32;32;32;32;32;32;32;32;32;32
"130014 APUI";36;36;36;36;36;36;36;36;36;36;36;36
"130020 ATALAIA DO NORTE";31;33;33;33;38;38;38;38;38;38;38;38
"130030 AUTAZES";41;41;41;41;41;41;41;41;41;41;41;41
"130040 BARCELOS";29;29;29;29;29;29;29;29;29;29;29;29
"130050 BARREIRINHA";30;30;30;30;30;30;30;30;30;30;30;30
"130060 BENJAMIN CONSTANT";48;48;48;48;48;48;48;48;48;48;48;48
"130063 BERURI";22;22;22;22;22;22;22;22;22;22;22;22
"130068 BOA VISTA DO RAMOS";22;22;22;22;22;22;22;22;22;22;22;22
"130070 BOCA DO ACRE";65;65;65;65;65;65;65;65;65;65;65;65
"130080 BORBA";49;49;49;49;49;49;49;49;49;49;49;49
"130083 CAAPIRANGA";20;20;20;20;20;20;20;20;20;20;20;20
"130090 CANUTAMA";24;24;24;24;24;24;24;24;24;21;21;21
"130100 CARAUARI";46;46;46;46;46;46;46;45;45;45;45;45
"130110 CAREIRO";20;20;20;20;20;20;20;20;20;20;20;20
"130115 CAREIRO DA VARZEA";19;19;19;19;19;19;19;19;19;19;19;19
"130120 COARI";105;105;105;105;105;105;105;105;105;105;105;105
"130130 CODAJAS";48;48;48;48;48;48;48;48;48;48;48;48
"130140 EIRUNEPE";76;76;76;76;76;76;76;76;76;76;76;76
"130150 ENVIRA";24;24;24;24;24;24;24;24;24;24;24;24
"130160 FONTE BOA";58;58;58;58;58;58;58;58;58;58;58;58
"130165 GUAJARA";20;20;20;20;20;20;20;20;20;20;20;20
"130170 HUMAITA";40;40;40;40;40;40;40;40;40;40;40;40
"130180 IPIXUNA";26;26;28;26;28;28;28;28;28;26;26;28
"130185 IRANDUBA";40;40;40;40;40;40;40;40;40;40;40;40
"130190 ITACOATIARA";110;110;110;110;110;110;110;110;110;110;110;110
"130195 ITAMARATI";25;25;25;25;25;25;25;25;25;25;25;25
"130200 ITAPIRANGA";29;29;29;29;29;29;29;29;29;29;29;29
"130210 JAPURA";20;20;20;20;20;20;20;20;20;20;20;20
"130220 JURUA";20;20;20;20;20;20;20;20;20;20;20;20
"130230 JUTAI";25;25;25;25;25;25;25;25;25;25;25;25
"130240 LABREA";52;52;52;52;52;52;52;52;52;52;43;43
"130250 MANACAPURU";72;72;72;72;72;72;72;72;72;72;72;72
"130255 MANAQUIRI";30;30;30;30;30;30;30;30;30;30;30;30
"130260 MANAUS";3704;3708;3712;3726;3726;3726;3745;3735;3762;3795;3959;3959
"130270 MANICORE";49;49;51;51;51;70;70;70;70;70;70;70
"130280 MARAA";19;19;19;19;19;19;19;19;19;19;19;19
"130290 MAUES";95;95;95;95;95;95;95;95;95;95;95;95
"130300 NHAMUNDA";24;24;24;24;24;24;24;24;24;24;24;24
"130310 NOVA OLINDA DO NORTE";41;41;42;42;42;42;42;42;42;42;42;42
"130320 NOVO AIRAO";26;26;26;26;26;26;26;26;26;26;26;26
"130330 NOVO ARIPUANA";27;27;27;27;27;27;27;27;27;27;27;27
"130340 PARINTINS";177;177;177;183;183;183;187;187;189;189;187;187
"130350 PAUINI";29;29;29;29;29;29;29;29;29;29;29;29
"130353 PRESIDENTE FIGUEIREDO";29;29;29;29;29;29;29;40;40;40;40;40
"130356 RIO PRETO DA EVA";23;23;23;23;23;23;23;23;23;23;23;23
"130360 SANTA ISABEL DO RIO NEGRO";21;21;21;21;21;21;21;21;21;21;21;21
"130370 SANTO ANTONIO DO ICA";72;72;72;72;72;72;72;72;72;72;72;72
"130380 SAO GABRIEL DA CACHOEIRA";78;78;78;78;72;64;64;64;64;62;64;64
"130390 SAO PAULO DE OLIVENCA";46;46;46;46;46;46;46;46;46;46;46;46
"130395 SAO SEBASTIAO DO UATUMA";20;20;20;20;20;37;19;19;19;20;20;20
"130400 SILVES";27;27;27;27;27;27;27;27;27;27;27;27
"130406 TABATINGA";63;63;63;63;63;63;63;63;63;67;67;67
"130410 TAPAUA";30;30;30;30;30;30;30;30;30;30;30;30
"130420 TEFE";105;87;87;93;93;93;93;93;93;93;93;93
"130423 TONANTINS";33;33;33;33;33;33;33;33;33;33;33;33
"130426 UARINI";26;26;26;26;26;26;26;26;26;26;26;26
"130430 URUCARA";40;40;40;40;40;40;40;40;40;40;40;40
"130440 URUCURITUBA";32;32;32;32;32;32;32;32;32;32;32;32
"140005 ALTO ALEGRE";30;30;30;30;30;30;30;30;30;30;30;30
"140010 BOA VISTA";1173;1148;1148;1148;1148;1148;1148;1117;1199;1199;1199;1199
"140015 BONFIM";13;13;13;13;13;13;13;13;13;13;13;13
"140020 CARACARAI";15;15;15;15;15;15;15;15;15;15;15;15
"140023 CAROEBE";14;14;14;14;14;14;14;14;14;8;9;9
"140028 IRACEMA";1;1;1;1;1;1;1;1;1;1;1;1
"140030 MUCAJAI";17;17;17;17;17;17;17;17;17;17;17;17
"140040 NORMANDIA";24;24;24;24;24;24;24;24;24;24;24;24
"140045 PACARAIMA";13;13;13;13;13;13;13;13;13;13;13;13
"140047 RORAINOPOLIS";84;84;84;84;84;84;84;98;98;98;98;98
"140050 SAO JOAO DA BALIZA";20;26;26;26;26;26;26;26;26;26;26;26
"140060 SAO LUIZ";11;11;11;11;11;11;11;11;11;11;11;11
