Unidades da Federação,Municípios,"Número de unidades
locais",Pessoal ocupado Total,Pessoal ocupado assalariado,Pessoal assalariado médio,"Salários
e outras
remunerações
(1 000 R$)","Salário médio
 mensal 
(salários mínimos)  (1) (2) ","Salário médio
 mensal 
(R$) (2)",Número de empresas atuantes
Rondônia,Alta Floresta D'Oeste - RO,521,   2 913,   2 356,   2 603,   68 629,1.8,   2 028.08,514
Rondônia,Ariquemes - RO,   2 879,   20 851,   17 176,   16 651,   488 764,2.1,   2 258.00,   2 778
Rondônia,Cabixi - RO,57,548,492,500,   14 172,2,   2 181.42,56
Rondônia,Cacoal - RO,   2 817,   20 913,   17 117,   16 999,   473 251,1.9,   2 141.50,   2 713
Rondônia,Cerejeiras - RO,513,   2 881,   2 248,   2 222,   65 510,2.1,   2 268.26,499
Rondônia,Colorado do Oeste - RO,352,   2 591,   2 223,   2 189,   56 121,1.8,   1 972.00,347
Rondônia,Corumbiara - RO,132,976,830,836,   26 333,2.2,   2 424.09,129
Rondônia,Costa Marques - RO,208,   1 082,894,878,   21 029,1.7,   1 842.83,206
Rondônia,Espigão D'Oeste - RO,790,   5 746,   4 727,   4 758,   122 733,1.8,   1 984.27,775
Rondônia,Guajará-Mirim - RO,727,   4 577,   3 867,   3 808,   110 010,2,   2 222.02,710
Rondônia,Jaru - RO,   1 264,   11 408,   9 849,   9 856,   273 636,1.9,   2 135.57,   1 210
Rondônia,Ji-Paraná - RO,   4 271,   32 785,   27 456,   27 722,   765 200,1.9,   2 123.27,   4 048
Rondônia,Machadinho D'Oeste - RO,671,   3 960,   3 265,   3 163,   84 833,1.9,   2 062.91,656
Rondônia,Nova Brasilândia D'Oeste - RO,375,   2 241,   1 737,   1 683,   48 227,2,   2 204.84,367
Rondônia,Ouro Preto do Oeste - RO,865,   6 671,   5 657,   5 546,   148 037,1.9,   2 053.30,842
Rondônia,Pimenta Bueno - RO,   1 202,   10 869,   9 384,   9 424,   250 332,1.9,   2 043.35,   1 173
Rondônia,Porto Velho - RO,   11 663,   169 540,   156 539,   154 107,  7 089 991,3.2,   3 538.99,   10 839
Rondônia,Presidente Médici - RO,455,   2 715,   2 377,   2 375,   58 891,1.7,   1 907.19,443
Rondônia,Rio Crespo - RO,57,530,473,464,   13 016,2,   2 155.57,57
Rondônia,Rolim de Moura - RO,   1 474,   13 323,   11 400,   11 462,   292 392,1.8,   1 962.32,   1 432
Rondônia,Santa Luzia D'Oeste - RO,114,817,702,727,   17 285,1.7,   1 830.06,112
Rondônia,Vilhena - RO,   3 609,   26 107,   21 816,   21 658,   665 262,2.1,   2 362.82,   3 466
Rondônia,São Miguel do Guaporé - RO,398,   3 734,   3 293,   3 168,   88 274,1.9,   2 143.53,386
Rondônia,Nova Mamoré - RO,366,   2 281,   1 869,   1 859,   48 229,1.8,   1 995.44,351
Rondônia,Alvorada D'Oeste - RO,268,   1 620,   1 308,   1 280,   30 186,1.6,   1 814.56,262
Rondônia,Alto Alegre dos Parecis - RO,170,   1 158,955,941,   27 838,2.1,   2 275.74,170
Rondônia,Alto Paraíso - RO,266,   1 601,   1 302,   1 266,   37 092,2,   2 254.10,265
Rondônia,Buritis - RO,595,   4 019,   3 297,   3 241,   96 626,2.1,   2 293.67,581
Rondônia,Novo Horizonte do Oeste - RO,131,903,766,752,   20 294,1.9,   2 076.95,127
Rondônia,Cacaulândia - RO,58,499,445,437,   13 069,2.1,   2 300.57,56
Rondônia,Campo Novo de Rondônia - RO,126,867,725,763,   25 427,2.3,   2 563.41,125
Rondônia,Candeias do Jamari - RO,359,   2 459,   2 090,   2 026,   60 738,2.1,   2 306.01,355
Rondônia,Castanheiras - RO,28,359,322,311,   8 251,1.9,   2 043.17,28
Rondônia,Chupinguaia - RO,241,   2 389,   2 113,   2 140,   56 749,1.9,   2 040.07,239
Rondônia,Cujubim - RO,321,   1 761,   1 395,   1 395,   41 747,2.1,   2 302.25,320
Rondônia,Governador Jorge Teixeira - RO,96,706,614,591,   17 782,2.1,   2 313.67,94
Rondônia,Itapuã do Oeste - RO,118,   1 193,   1 077,   1 143,   34 432,2.1,   2 317.81,115
Rondônia,Ministro Andreazza - RO,140,   1 003,836,849,   23 073,1.9,   2 091.51,140
Rondônia,Mirante da Serra - RO,203,   1 508,   1 308,   1 291,   31 441,1.7,   1 873.27,199
Rondônia,Monte Negro - RO,208,   1 478,   1 239,   1 241,   34 133,1.9,   2 115.94,205
Rondônia,Nova União - RO,73,528,464,468,   11 749,1.8,   1 932.79,73
Rondônia,Parecis - RO,56,550,480,488,   15 098,2.2,   2 378.38,55
Rondônia,Pimenteiras do Oeste - RO,46,400,349,365,   10 546,2,   2 220.37,45
Rondônia,Primavera de Rondônia - RO,48,388,340,338,   8 561,1.8,   1 949.90,48
Rondônia,São Felipe D'Oeste - RO,72,629,545,515,   13 449,1.8,   2 009.09,70
Rondônia,São Francisco do Guaporé - RO,323,   1 833,   1 483,   1 425,   37 012,1.8,   1 998.46,320
Rondônia,Seringueiras - RO,139,   1 298,   1 155,   1 131,   32 511,2,   2 212.07,133
Rondônia,Teixeirópolis - RO,59,535,420,429,   11 250,1.8,   2 017.89,59
Rondônia,Theobroma - RO,81,777,681,673,   19 406,2,   2 217.14,81
Rondônia,Urupá - RO,182,   1 493,   1 254,   1 338,   31 530,1.6,   1 812.07,179
Rondônia,Vale do Anari - RO,142,842,693,748,   19 588,1.8,   2 015.64,142
Rondônia,Vale do Paraíso - RO,93,770,674,667,   17 870,1.9,   2 060.93,91
Acre,Acrelândia - AC,133,978,847,837,   22 656,1.9,   2 081.13,131
Acre,Assis Brasil - AC,53,545,493,423,   13 817,2.3,   2 512.89,53
Acre,Brasiléia - AC,324,   2 886,   2 566,   2 394,   62 367,1.8,   2 003.92,316
Acre,Bujari - AC,80,   1 597,   1 518,   1 399,   30 646,1.5,   1 685.23,80
Acre,Capixaba - AC,65,650,589,557,   17 062,2.1,   2 355.14,65
Acre,Cruzeiro do Sul - AC,   1 236,   11 869,   10 652,   10 182,   261 018,1.8,   1 971.87,   1 136
Acre,Epitaciolândia - AC,298,   2 040,   1 762,   1 633,   40 219,1.7,   1 895.06,292
Acre,Feijó - AC,236,   2 382,   2 172,   1 915,   45 888,1.7,   1 843.31,230
Acre,Jordão - AC,25,624,603,552,   12 382,1.6,   1 725.03,25
Acre,Mâncio Lima - AC,100,   1 052,976,948,   23 928,1.8,   1 941.23,94
Acre,Manoel Urbano - AC,45,548,507,500,   14 949,2.1,   2 300.70,43
Acre,Marechal Thaumaturgo - AC,53,986,950,912,   33 519,2.6,   2 826.65,47
Acre,Plácido de Castro - AC,153,   1 021,879,889,   25 867,2,   2 238.94,149
Acre,Porto Walter - AC,38,956,923,886,   20 140,1.6,   1 747.74,37
Acre,Rio Branco - AC,   6 614,   106 966,   100 343,   99 086,  4 690 452,3.3,   3 641.31,   6 086
Acre,Rodrigues Alves - AC,48,963,919,790,   24 222,2.1,   2 357.90,48
Acre,Santa Rosa do Purus - AC,17,270,259,257,   8 389,2.3,   2 506.86,17
Acre,Senador Guiomard - AC,178,   2 129,   1 972,   1 872,   49 932,1.9,   2 051.90,174
Acre,Sena Madureira - AC,298,   3 269,   3 013,   2 790,   67 170,1.7,   1 851.91,292
Acre,Tarauacá - AC,295,   2 388,   2 091,   2 053,   61 063,2.1,   2 288.17,284
Acre,Xapuri - AC,197,   1 091,896,904,   23 234,1.8,   1 976.74,186
Acre,Porto Acre - AC,79,   1 075,   1 009,803,   24 357,2.1,   2 333.14,78
Amazonas,Alvarães - AM,58,   1 326,   1 277,   1 053,   26 776,1.8,   1 956.52,57
Amazonas,Amaturá - AM,23,838,825,682,   18 091,1.9,   2 039.81,23
Amazonas,Anamã - AM,33,576,560,537,   12 524,1.6,   1 793.15,32
Amazonas,Anori - AM,55,859,810,777,   20 531,1.8,   2 033.13,55
Amazonas,Apuí - AM,385,   1 368,980,897,   26 601,2.1,   2 280.52,380
Amazonas,Atalaia do Norte - AM,34,   1 603,   1 580,   1 330,   30 311,1.6,   1 753.17,30
Amazonas,Autazes - AM,164,   2 281,   2 134,   2 142,   62 420,2,   2 241.56,140
Amazonas,Barcelos - AM,55,   1 007,958,   1 191,   25 430,1.5,   1 642.34,52
Amazonas,Barreirinha - AM,186,   2 826,   2 661,   1 973,   53 843,1.9,   2 098.90,179
Amazonas,Benjamin Constant - AM,151,   2 502,   2 358,   2 364,   60 306,1.8,   1 962.57,150
Amazonas,Beruri - AM,66,   1 396,   1 341,   1 293,   32 932,1.8,   1 958.90,63
Amazonas,Boa Vista do Ramos - AM,48,   1 602,   1 562,   1 335,   30 466,1.6,   1 755.63,46
Amazonas,Boca do Acre - AM,222,   2 413,   2 183,   2 348,   46 448,1.4,   1 521.74,210
Amazonas,Borba - AM,71,   2 807,   2 741,   2 846,   72 293,1.8,   1 954.13,64
Amazonas,Caapiranga - AM,25,   1 320,   1 300,   1 293,   27 038,1.5,   1 608.19,25
Amazonas,Canutama - AM,64,837,775,699,   14 655,1.5,   1 613.89,63
Amazonas,Carauari - AM,155,   1 542,   1 404,   1 216,   32 010,1.8,   2 024.17,150
Amazonas,Careiro - AM,152,   2 050,   1 911,   1 982,   58 131,2.1,   2 256.61,143
Amazonas,Careiro da Várzea - AM,63,   1 209,   1 175,   1 091,   28 408,1.8,   2 003.15,63
Amazonas,Coari - AM,453,   8 079,   7 650,   7 291,   302 089,2.9,   3 187.29,434
Amazonas,Codajás - AM,50,   1 481,   1 448,   1 279,   32 577,1.8,   1 959.33,46
Amazonas,Eirunepé - AM,222,   1 771,   1 586,   1 592,   41 403,1.8,   2 000.40,216
Amazonas,Envira - AM,59,   1 487,   1 436,   1 259,   31 093,1.7,   1 900.02,57
Amazonas,Fonte Boa - AM,109,   2 297,   2 203,   2 049,   43 673,1.5,   1 639.60,107
Amazonas,Guajará - AM,38,697,667,661,   13 244,1.4,   1 540.85,37
Amazonas,Humaitá - AM,701,   4 334,   3 698,   3 561,   103 544,2,   2 236.73,687
Amazonas,Ipixuna - AM,30,409,390,379,   8 514,1.6,   1 725.93,30
Amazonas,Iranduba - AM,425,   5 283,   4 752,   4 531,   122 855,1.9,   2 085.74,411
Amazonas,Itacoatiara - AM,853,   10 615,   9 807,   9 195,   265 834,2,   2 223.80,792
Amazonas,Itamarati - AM,50,   1 208,   1 167,   1 012,   21 770,1.5,   1 655.27,49
Amazonas,Itapiranga - AM,50,771,736,623,   17 280,1.9,   2 134.82,49
Amazonas,Japurá - AM,38,   1 103,   1 076,882,   17 903,1.4,   1 561.40,34
Amazonas,Juruá - AM,45,900,865,796,   16 505,1.4,   1 594.43,43
Amazonas,Jutaí - AM,122,845,734,727,   14 689,1.4,   1 554.45,121
Amazonas,Lábrea - AM,133,   2 208,   2 094,   1 850,   50 097,1.9,   2 083.59,131
Amazonas,Manacapuru - AM,791,   7 012,   6 180,   6 953,   186 465,1.9,   2 062.85,752
Amazonas,Manaquiri - AM,63,   1 183,   1 135,943,   25 634,1.9,   2 090.34,58
Amazonas,Manaus - AM,   32 090,   554 913,   519 130,   507 460,  21 748 979,3,   3 296.81,   28 737
Amazonas,Manicoré - AM,501,   2 739,   2 236,   2 147,   58 638,1.9,   2 101.12,490
Amazonas,Maraã - AM,27,840,820,772,   16 309,1.5,   1 625.25,26
Amazonas,Maués - AM,465,   3 741,   3 357,   3 160,   70 293,1.6,   1 710.89,450
Amazonas,Nhamundá - AM,70,   1 180,   1 142,   1 284,   28 933,1.6,   1 733.05,64
Amazonas,Nova Olinda do Norte - AM,105,   1 786,   1 686,   2 122,   45 990,1.5,   1 666.84,104
Amazonas,Novo Airão - AM,128,   1 780,   1 629,   1 459,   36 685,1.8,   1 934.14,127
Amazonas,Novo Aripuanã - AM,93,963,884,989,   22 497,1.6,   1 750.31,93
Amazonas,Parintins - AM,851,   8 340,   7 586,   6 894,   163 921,1.7,   1 829.10,804
Amazonas,Pauini - AM,29,   1 150,   1 138,   1 022,   28 618,2,   2 154.86,29
Amazonas,Presidente Figueiredo - AM,235,   5 910,   5 662,   5 200,   249 535,3.4,   3 691.00,227
Amazonas,Rio Preto da Eva - AM,192,   2 179,   1 868,   1 757,   49 374,2,   2 161.42,188
Amazonas,Santa Isabel do Rio Negro - AM,35,   1 081,   1 053,891,   20 932,1.6,   1 807.94,33
Amazonas,Santo Antônio do Içá - AM,99,   1 361,   1 287,   1 242,   25 846,1.5,   1 601.34,88
Amazonas,São Gabriel da Cachoeira - AM,256,   2 730,   2 503,   2 298,   67 156,2,   2 247.81,245
Amazonas,São Paulo de Olivença - AM,54,   2 203,   2 160,   1 976,   54 335,1.9,   2 114.87,52
Amazonas,São Sebastião do Uatumã - AM,57,691,646,621,   17 834,2,   2 208.77,56
Amazonas,Silves - AM,37,796,766,678,   24 276,2.5,   2 752.64,34
Amazonas,Tabatinga - AM,304,   5 104,   4 808,   4 323,   116 108,1.9,   2 065.81,288
Amazonas,Tapauá - AM,37,   1 673,   1 639,   1 550,   32 768,1.5,   1 625.69,37
Amazonas,Tefé - AM,519,   8 495,   7 973,   6 977,   168 572,1.7,   1 858.44,494
Amazonas,Tonantins - AM,36,   1 281,   1 257,   1 113,   23 644,1.5,   1 633.74,35
Amazonas,Uarini - AM,48,   1 092,   1 058,   1 388,   26 213,1.3,   1 452.73,47
Amazonas,Urucará - AM,92,   1 342,   1 274,   1 147,   26 326,1.6,   1 766.05,90
Amazonas,Urucurituba - AM,63,   1 631,   1 576,   1 486,   33 373,1.6,   1 727.65,60
Roraima,Amajari - RR,30,634,610,501,   12 136,1.7,   1 861.88,29
Roraima,Alto Alegre - RR,68,971,902,848,   20 856,1.7,   1 891.13,67
Roraima,Boa Vista - RR,   6 942,   104 139,   96 835,   93 848,  4 224 767,3.1,   3 462.86,   6 303
Roraima,Bonfim - RR,76,966,891,928,   23 625,1.8,   1 958.79,76
Roraima,Cantá - RR,116,   1 932,   1 793,   1 763,   32 914,1.3,   1 436.18,112
Roraima,Caracaraí - RR,110,   1 590,   1 482,   1 408,   40 378,2,   2 206.08,109
Roraima,Caroebe - RR,57,715,658,626,   13 737,1.5,   1 689.06,56
Roraima,Iracema - RR,51,958,906,749,   16 033,1.5,   1 647.27,49
Roraima,Mucajaí - RR,125,   1 250,   1 128,   1 051,   25 697,1.7,   1 881.33,122
Roraima,Normandia - RR,30,757,730,647,   17 625,1.9,   2 094.54,30
Roraima,Pacaraima - RR,147,   1 119,978,996,   26 457,1.9,   2 043.53,142
Roraima,Rorainópolis - RR,304,   2 852,   2 555,   2 397,   65 713,1.9,   2 108.67,298
Roraima,São João da Baliza - RR,74,   1 110,   1 030,980,   23 585,1.7,   1 850.85,73
Roraima,São Luiz - RR,51,530,487,663,   15 367,1.6,   1 783.88,51
Roraima,Uiramutã - RR,29,624,595,507,   11 318,1.6,   1 717.73,29
Pará,Abaetetuba - PA,   1 172,   13 317,   12 083,   11 633,   307 189,1.8,   2 031.35,   1 133
Pará,Abel Figueiredo - PA,61,769,704,700,   15 901,1.6,   1 748.53,61
Pará,Acará - PA,177,   5 469,   5 278,   5 067,   148 663,2.1,   2 256.74,175
Pará,Afuá - PA,67,   2 038,   1 959,   2 255,   71 331,2.2,   2 433.19,65
Pará,Água Azul do Norte - PA,119,   2 440,   2 326,   2 072,   75 504,2.5,   2 803.15,116
Pará,Alenquer - PA,322,   3 279,   2 941,   2 871,   81 452,2,   2 182.29,313
Pará,Almeirim - PA,401,   5 791,   5 387,   4 639,   182 737,2.8,   3 030.35,386
Pará,Altamira - PA,   2 219,   19 902,   17 523,   15 604,   489 506,2.2,   2 413.07,   2 126
Pará,Anajás - PA,107,   2 083,   2 009,   1 827,   57 251,2.2,   2 410.80,104
Pará,Ananindeua - PA,   5 626,   76 783,   70 772,   68 610,  1 803 350,1.8,   2 021.84,   5 292
Pará,Anapu - PA,296,   2 362,   2 134,   1 943,   50 153,1.8,   1 985.76,293
Pará,Augusto Corrêa - PA,181,   2 956,   2 779,   2 450,   71 735,2,   2 252.02,180
Pará,Aurora do Pará - PA,128,   1 685,   1 578,   1 564,   53 011,2.4,   2 607.65,127
Pará,Aveiro - PA,70,779,742,727,   22 748,2.2,   2 405.96,67
Pará,Bagre - PA,57,835,783,782,   16 190,1.4,   1 592.50,56
Pará,Baião - PA,105,   2 195,   2 104,   2 017,   60 803,2.1,   2 318.62,104
Pará,Bannach - PA,47,489,447,452,   13 995,2.2,   2 381.22,47
Pará,Barcarena - PA,   1 659,   30 530,   28 880,   28 257,  1 083 313,2.7,   2 949.12,   1 599
Pará,Belém - PA,   22 891,   431 009,   403 619,   399 883,  20 109 948,3.5,   3 868.43,   20 781
Pará,Belterra - PA,117,   1 835,   1 700,   1 556,   37 178,1.7,   1 838.32,112
Pará,Benevides - PA,767,   12 709,   11 966,   11 384,   323 044,2,   2 182.84,730
Pará,Bom Jesus do Tocantins - PA,147,   1 427,   1 276,   1 223,   34 290,2,   2 157.40,145
Pará,Bonito - PA,67,   2 439,   2 372,   2 127,   46 011,1.5,   1 664.27,65
Pará,Bragança - PA,832,   9 344,   8 447,   7 869,   227 163,2,   2 220.65,792
Pará,Brasil Novo - PA,207,   1 768,   1 561,   1 458,   38 906,1.9,   2 052.65,206
Pará,Brejo Grande do Araguaia - PA,48,721,679,637,   15 765,1.7,   1 902.24,48
Pará,Breu Branco - PA,377,   4 021,   3 626,   3 350,   103 307,2.2,   2 372.08,370
Pará,Breves - PA,632,   6 642,   6 046,   6 488,   227 152,2.4,   2 693.27,617
Pará,Bujaru - PA,84,   1 711,   1 599,   1 499,   40 150,1.9,   2 059.87,82
Pará,Cachoeira do Piriá - PA,106,   1 745,   1 635,   1 332,   35 758,1.9,   2 065.38,105
Pará,Cachoeira do Arari - PA,107,   1 504,   1 426,   1 356,   36 504,1.9,   2 070.64,101
Pará,Cametá - PA,746,   6 975,   6 239,   5 981,   213 680,2.5,   2 747.99,712
Pará,Canaã dos Carajás - PA,   1 200,   22 767,   21 577,   19 852,   874 948,3.1,   3 390.28,   1 183
Pará,Capanema - PA,   1 093,   10 296,   9 093,   8 818,   218 323,1.7,   1 904.56,   1 052
Pará,Capitão Poço - PA,356,   4 989,   4 581,   4 072,   80 963,1.4,   1 529.60,345
Pará,Castanhal - PA,   3 599,   39 176,   35 454,   34 431,   822 349,1.7,   1 837.22,   3 461
Pará,Chaves - PA,40,   1 724,   1 696,   1 539,   47 097,2.1,   2 354.20,39
Pará,Colares - PA,28,578,552,552,   15 740,2,   2 191.61,28
Pará,Conceição do Araguaia - PA,542,   4 039,   3 569,   3 706,   104 531,2,   2 169.66,519
Pará,Concórdia do Pará - PA,204,   3 099,   2 860,   2 943,   85 478,2,   2 234.02,203
Pará,Cumaru do Norte - PA,107,   1 279,   1 178,   1 144,   34 524,2.1,   2 322.01,102
Pará,Curionópolis - PA,228,   2 926,   2 733,   2 596,   111 044,3,   3 290.83,226
Pará,Curralinho - PA,86,   1 835,   1 762,   1 686,   57 960,2.4,   2 644.22,84
Pará,Curuá - PA,58,   1 035,984,934,   23 458,1.8,   1 931.14,58
Pará,Curuçá - PA,188,   2 575,   2 253,   2 121,   55 669,1.8,   2 018.53,187
Pará,Dom Eliseu - PA,607,   5 121,   4 519,   4 653,   125 749,1.9,   2 078.74,597
Pará,Eldorado dos Carajás - PA,272,   2 752,   2 507,   2 775,   83 452,2.1,   2 312.95,268
Pará,Faro - PA,50,871,836,840,   18 409,1.5,   1 685.06,48
Pará,Floresta do Araguaia - PA,135,   1 492,   1 372,   1 335,   41 859,2.2,   2 411.23,135
Pará,Garrafão do Norte - PA,110,   2 223,   2 100,   1 996,   54 125,1.9,   2 085.51,110
Pará,Goianésia do Pará - PA,268,   3 318,   3 030,   2 926,   81 006,1.9,   2 129.76,262
Pará,Gurupá - PA,166,   3 496,   3 337,   2 660,   79 240,2.1,   2 291.61,165
Pará,Igarapé-Açu - PA,282,   2 381,   2 082,   2 014,   52 187,1.8,   1 993.68,275
Pará,Igarapé-Miri - PA,412,   3 940,   3 510,   3 554,   109 719,2.2,   2 374.99,403
Pará,Inhangapi - PA,44,   1 033,988,912,   23 267,1.8,   1 962.72,44
Pará,Ipixuna do Pará - PA,179,   3 771,   3 584,   3 380,   103 455,2.1,   2 354.78,177
Pará,Irituia - PA,154,   1 806,   1 693,   1 588,   39 689,1.7,   1 922.59,154
Pará,Itaituba - PA,   2 546,   18 109,   15 314,   14 483,   477 772,2.3,   2 537.55,   2 453
Pará,Itupiranga - PA,339,   2 776,   2 455,   2 657,   74 743,2,   2 163.71,336
Pará,Jacareacanga - PA,228,   1 992,   1 771,   1 653,   59 623,2.5,   2 774.54,223
Pará,Jacundá - PA,434,   4 355,   3 807,   3 592,   105 084,2,   2 250.34,432
Pará,Juruti - PA,335,   6 459,   6 154,   5 486,   267 856,3.4,   3 755.83,321
Pará,Limoeiro do Ajuru - PA,51,   1 510,   1 453,   1 310,   39 738,2.1,   2 334.27,50
Pará,Mãe do Rio - PA,380,   3 007,   2 667,   2 489,   73 014,2.1,   2 256.62,376
Pará,Magalhães Barata - PA,27,546,526,475,   10 813,1.6,   1 749.75,26
Pará,Marabá - PA,   5 079,   59 003,   53 582,   52 203,  1 964 126,2.6,   2 894.23,   4 766
Pará,Maracanã - PA,71,   2 313,   2 232,   2 112,   53 288,1.8,   1 940.71,70
Pará,Marapanim - PA,160,   1 883,   1 788,   1 721,   39 664,1.6,   1 772.49,158
Pará,Marituba - PA,   1 088,   18 857,   17 774,   17 034,   516 380,2.1,   2 331.87,   1 059
Pará,Medicilândia - PA,232,   2 154,   1 913,   1 749,   55 066,2.2,   2 421.80,230
Pará,Melgaço - PA,64,   1 121,   1 062,   1 401,   52 651,2.6,   2 889.84,63
Pará,Mocajuba - PA,144,   2 298,   2 168,   1 988,   62 698,2.2,   2 426.61,142
Pará,Moju - PA,420,   10 603,   10 160,   9 358,   228 917,1.7,   1 881.78,415
Pará,Mojuí dos Campos - PA,156,   1 549,   1 367,   1 233,   33 220,1.9,   2 072.62,155
Pará,Monte Alegre - PA,396,   3 586,   3 143,   3 054,   86 601,2,   2 181.26,372
Pará,Muaná - PA,99,   1 263,   1 182,   1 437,   44 052,2.1,   2 358.38,97
Pará,Nova Esperança do Piriá - PA,98,   1 355,   1 250,   1 195,   35 490,2.1,   2 284.90,98
Pará,Nova Ipixuna - PA,107,   1 087,974,   1 051,   33 232,2.2,   2 433.20,107
Pará,Nova Timboteua - PA,92,   1 050,946,906,   21 828,1.7,   1 853.20,91
Pará,Novo Progresso - PA,   1 012,   4 945,   3 785,   4 138,   126 691,2.1,   2 354.91,995
Pará,Novo Repartimento - PA,627,   5 152,   4 453,   4 316,   125 297,2,   2 232.89,610
Pará,Óbidos - PA,376,   4 796,   4 466,   4 006,   121 575,2.1,   2 334.52,358
Pará,Oeiras do Pará - PA,95,   1 165,   1 079,   1 682,   54 999,2.3,   2 514.60,94
Pará,Oriximiná - PA,577,   7 195,   6 548,   4 828,   320 329,4.6,   5 103.65,545
Pará,Ourém - PA,127,967,844,763,   19 252,1.8,   1 939.68,127
Pará,Ourilândia do Norte - PA,371,   3 919,   3 626,   4 023,   154 377,2.7,   2 951.62,369
Pará,Pacajá - PA,349,   3 086,   2 674,   4 490,   143 326,2.2,   2 455.22,348
Pará,Palestina do Pará - PA,48,445,403,392,   11 923,2.1,   2 339.77,48
Pará,Paragominas - PA,   2 046,   23 720,   21 239,   17 778,   681 145,2.7,   2 947.27,   1 960
Pará,Parauapebas - PA,   4 818,   78 100,   73 549,   70 332,  3 031 260,3,   3 315.32,   4 641
Pará,Pau D'Arco - PA,57,626,562,542,   17 273,2.2,   2 449.57,57
Pará,Peixe-Boi - PA,36,518,485,435,   9 866,1.6,   1 742.95,32
Pará,Piçarra - PA,135,   1 315,   1 189,   1 396,   33 836,1.7,   1 864.18,132
Pará,Placas - PA,122,   1 535,   1 402,   1 194,   45 214,2.6,   2 913.41,119
Pará,Ponta de Pedras - PA,73,   1 990,   1 931,   1 766,   43 311,1.7,   1 886.04,69
Pará,Portel - PA,422,   5 075,   4 648,   3 794,   116 846,2.2,   2 369.01,418
Pará,Porto de Moz - PA,150,   2 642,   2 480,   2 251,   60 972,1.9,   2 083.88,149
Pará,Prainha - PA,153,   1 796,   1 646,   1 568,   49 145,2.2,   2 411.75,151
Pará,Primavera - PA,62,   1 095,   1 039,984,   29 391,2.1,   2 297.35,60
Pará,Quatipuru - PA,34,681,654,643,   16 290,1.8,   1 948.33,33
Pará,Redenção - PA,   2 079,   16 039,   13 810,   13 907,   414 196,2.1,   2 290.98,   2 021
Pará,Rio Maria - PA,322,   3 092,   2 761,   2 676,   72 930,1.9,   2 096.74,322
Pará,Rondon do Pará - PA,451,   3 409,   2 985,   2 997,   108 445,2.5,   2 783.20,449
Pará,Rurópolis - PA,261,   2 606,   2 229,   2 236,   72 750,2.3,   2 502.78,260
Pará,Salinópolis - PA,614,   5 473,   4 851,   4 683,   116 103,1.7,   1 907.01,590
Pará,Salvaterra - PA,143,   1 573,   1 426,   1 301,   32 943,1.8,   1 947.71,138
Pará,Santa Bárbara do Pará - PA,124,   2 409,   2 272,   2 150,   48 170,1.6,   1 723.28,121
Pará,Santa Cruz do Arari - PA,28,485,473,452,   11 017,1.7,   1 875.52,27
Pará,Santa Isabel do Pará - PA,629,   10 705,   10 011,   9 614,   232 997,1.7,   1 864.21,606
Pará,Santa Luzia do Pará - PA,108,   1 221,   1 106,   1 027,   30 307,2.1,   2 269.30,106
Pará,Santa Maria das Barreiras - PA,251,   2 075,   1 815,   1 684,   53 560,2.2,   2 446.98,237
Pará,Santa Maria do Pará - PA,279,   2 354,   2 095,   1 889,   40 487,1.5,   1 648.94,276
Pará,Santana do Araguaia - PA,572,   4 997,   4 352,   4 320,   146 563,2.4,   2 609.78,559
Pará,Santarém - PA,   5 647,   49 834,   42 898,   42 363,  1 300 155,2.1,   2 360.83,   5 227
Pará,Santarém Novo - PA,26,601,581,571,   13 836,1.7,   1 863.99,26
Pará,Santo Antônio do Tauá - PA,229,   2 531,   2 227,   2 087,   58 047,1.9,   2 139.05,220
Pará,São Caetano de Odivelas - PA,63,944,888,929,   26 711,2,   2 210.71,62
Pará,São Domingos do Araguaia - PA,183,   1 996,   1 814,   1 760,   45 171,1.8,   1 974.28,180
Pará,São Domingos do Capim - PA,116,   2 044,   1 937,   1 641,   43 948,1.9,   2 060.66,115
Pará,São Félix do Xingu - PA,636,   5 096,   4 444,   4 305,   152 594,2.5,   2 726.45,623
Pará,São Francisco do Pará - PA,104,   1 163,   1 057,   1 017,   28 714,2,   2 171.49,103
Pará,São Geraldo do Araguaia - PA,297,   3 448,   3 121,   3 043,   84 452,1.9,   2 134.97,291
Pará,São João da Ponta - PA,19,381,365,337,   8 067,1.7,   1 839.09,19
Pará,São João de Pirabas - PA,96,   1 553,   1 456,   1 401,   32 302,1.6,   1 774.00,93
Pará,São João do Araguaia - PA,42,809,774,770,   22 948,2.1,   2 291.75,42
Pará,São Miguel do Guamá - PA,430,   6 780,   6 317,   5 640,   131 573,1.6,   1 794.66,418
Pará,São Sebastião da Boa Vista - PA,108,   1 670,   1 585,   1 470,   44 598,2.1,   2 333.16,103
Pará,Sapucaia - PA,58,838,797,753,   17 711,1.6,   1 809.54,53
Pará,Senador José Porfírio - PA,120,   1 012,926,851,   28 222,2.3,   2 550.42,119
Pará,Soure - PA,202,   1 523,   1 315,   1 299,   38 128,2.1,   2 257.70,197
Pará,Tailândia - PA,798,   13 953,   13 113,   12 196,   290 419,1.7,   1 831.67,784
Pará,Terra Alta - PA,71,778,720,683,   17 156,1.8,   1 931.58,71
Pará,Terra Santa - PA,123,   1 590,   1 466,   1 417,   44 059,2.2,   2 392.22,119
