ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
431842,202005,85,399.0
431843,202005,127,1565.0
431844,202005,25,123.0
431845,202005,223,1148.0
431846,202005,197,2165.0
431848,202005,16,506.0
431849,202005,13,89.0
431850,202005,1438,7637.0
431860,202005,217,1163.0
431861,202005,17,353.0
431862,202005,213,4801.0
431870,202005,8924,183946.0
431880,202005,1490,17207.0
431890,202005,1073,12042.0
431900,202005,330,6684.0
431910,202005,102,260.0
431912,202005,252,2014.0
431915,202005,575,9055.0
431920,202005,744,11523.0
431930,202005,256,2954.0
431935,202005,20,123.0
431936,202005,84,212.0
431937,202005,47,707.0
431940,202005,869,12301.0
431950,202005,733,14276.0
431960,202005,982,8897.0
431970,202005,62,383.0
431971,202005,5,0.0
431973,202005,301,0.0
431975,202005,3,0.0
431980,202005,420,2559.0
431990,202005,1897,52467.0
432000,202005,4054,64876.0
432010,202005,738,21836.0
432020,202005,618,9220.0
432023,202005,125,1279.0
432026,202005,454,1820.0
432030,202005,99,1236.0
432032,202005,119,624.0
432035,202005,336,2826.0
432040,202005,130,5253.0
432045,202005,55,89.0
432050,202005,178,1912.0
432055,202005,192,611.0
432057,202005,99,618.0
432060,202005,65,431.0
432065,202005,66,1048.0
432067,202005,444,6692.0
432070,202005,520,5621.0
432080,202005,1729,34709.0
432085,202005,120,1972.0
432090,202005,405,14654.0
432100,202005,145,2869.0
432110,202005,421,2665.0
432120,202005,1028,16078.0
432130,202005,1210,22921.0
432132,202005,55,896.0
432135,202005,421,5405.0
432140,202005,758,16154.0
432143,202005,662,9982.0
432145,202005,231,7007.0
432146,202005,37,0.0
432147,202005,138,725.0
432149,202005,109,356.0
432150,202005,988,18649.0
432160,202005,1820,29236.0
432162,202005,6,0.0
432163,202005,4,180.0
432166,202005,206,2772.0
432170,202005,358,6067.0
432180,202005,650,11638.0
432183,202005,119,734.0
432185,202005,244,3288.0
432190,202005,622,12215.0
432195,202005,302,7135.0
432200,202005,1262,14683.0
432210,202005,121,1271.0
432215,202005,405,1868.0
432218,202005,55,592.0
432220,202005,1688,26145.0
432225,202005,34,433.0
432230,202005,173,3348.0
432232,202005,157,1750.0
432234,202005,28,390.0
432235,202005,9,178.0
432237,202005,216,1371.0
432240,202005,6630,92931.0
432250,202005,2099,65776.0
432252,202005,141,2283.0
432253,202005,221,2034.0
432254,202005,29,617.0
432255,202005,28,1106.0
432260,202005,1792,36195.0
432270,202005,634,10561.0
432280,202005,266,6689.0
432285,202005,3,0.0
432290,202005,71,650.0
432300,202005,11180,199834.0
432310,202005,399,2916.0
432320,202005,33,41.0
432330,202005,16,613.0
432335,202005,15,171.0
432340,202005,41,1146.0
432345,202005,447,6140.0
432350,202005,92,561.0
432360,202005,16,0.0
432370,202005,128,2106.0
432375,202005,217,1667.0
432377,202005,10,0.0
432380,202005,428,9738.0
500020,202005,916,22343.0
500025,202005,327,2308.0
500060,202005,3205,35287.0
500070,202005,1536,15897.0
500080,202005,497,3673.0
500085,202005,734,9163.0
500090,202005,678,2602.0
500100,202005,1301,30248.0
500110,202005,2120,13101.0
500124,202005,959,8762.0
500150,202005,381,4252.0
500190,202005,1267,15147.0
500200,202005,969,11701.0
500210,202005,1860,12264.0
500215,202005,531,2260.0
500220,202005,614,8278.0
500230,202005,785,9836.0
500240,202005,1238,11935.0
500260,202005,908,8005.0
500270,202005,33600,577345.0
500280,202005,515,2991.0
500290,202005,772,11972.0
500295,202005,712,17395.0
500310,202005,287,3163.0
500315,202005,1940,12860.0
500320,202005,6328,58652.0
500325,202005,1424,26712.0
500330,202005,2319,21355.0
500345,202005,601,3624.0
500348,202005,1069,4710.0
500350,202005,345,1843.0
500370,202005,9348,141702.0
500375,202005,740,8849.0
500380,202005,901,7236.0
500390,202005,178,1690.0
500400,202005,407,2144.0
500410,202005,971,11544.0
500430,202005,854,9461.0
500440,202005,302,2713.0
500450,202005,277,2246.0
500460,202005,932,9800.0
500470,202005,697,3436.0
500480,202005,1300,8674.0
500490,202005,216,2053.0
500500,202005,1239,6305.0
500510,202005,245,1441.0
500515,202005,737,7785.0
500520,202005,1373,12087.0
500525,202005,409,3692.0
500540,202005,884,5484.0
500560,202005,3224,31032.0
500568,202005,1144,7341.0
500570,202005,1920,21123.0
500580,202005,1282,6789.0
500600,202005,973,10270.0
500620,202005,2400,37686.0
500625,202005,114,385.0
500627,202005,194,1903.0
500630,202005,1503,22185.0
500635,202005,1559,21422.0
500640,202005,678,8640.0
500660,202005,5102,36015.0
500690,202005,568,3829.0
500710,202005,1059,10112.0
500720,202005,1346,15676.0
500730,202005,224,3105.0
500740,202005,1554,21124.0
500750,202005,265,3342.0
500755,202005,147,467.0
500769,202005,816,13484.0
500770,202005,421,1319.0
500780,202005,298,2804.0
500790,202005,3176,48562.0
500793,202005,656,6840.0
500795,202005,1500,17025.0
500797,202005,210,2402.0
500800,202005,676,4332.0
500830,202005,4160,64807.0
500840,202005,354,1842.0
510010,202005,789,3712.0
510020,202005,572,5274.0
510025,202005,1866,27230.0
510030,202005,760,7270.0
510035,202005,499,2471.0
510040,202005,848,11594.0
510050,202005,899,12131.0
510060,202005,312,4239.0
510080,202005,385,1610.0
510100,202005,229,1038.0
510120,202005,88,978.0
510125,202005,865,6203.0
510130,202005,464,5633.0
510140,202005,1155,8357.0
510160,202005,881,3554.0
510170,202005,1713,14898.0
510180,202005,3506,42728.0
510185,202005,559,1482.0
510190,202005,562,3595.0
510250,202005,7363,89884.0
510260,202005,1129,12370.0
510263,202005,515,7005.0
510267,202005,799,9454.0
510268,202005,409,10000.0
