CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município
Período:Abr/2024
"Município";"Quantidade_existente"
"150220 CAPANEMA";260
"150230 CAPITAO POCO";189
"150240 CASTANHAL";515
"150250 CHAVES";16
"150260 COLARES";8
"150270 CONCEICAO DO ARAGUAIA";119
"150275 CONCORDIA DO PARA";30
"150276 CUMARU DO NORTE";11
"150277 CURIONOPOLIS";39
"150280 CURRALINHO";26
"150290 CURUCA";27
"150293 DOM ELISEU";116
"150295 ELDORADO DOS CARAJAS";41
"150300 FARO";10
"150304 FLORESTA DO ARAGUAIA";20
"150307 GARRAFAO DO NORTE";18
"150309 GOIANESIA DO PARA";24
"150310 GURUPA";23
"150320 IGARAPE-ACU";45
"150330 IGARAPE-MIRI";145
"150340 INHANGAPI";19
"150345 IPIXUNA DO PARA";61
"150350 IRITUIA";30
"150360 ITAITUBA";351
"150370 ITUPIRANGA";53
"150375 JACAREACANGA";27
"150380 JACUNDA";102
"150390 JURUTI";100
"150400 LIMOEIRO DO AJURU";20
"150405 MAE DO RIO";52
"150420 MARABA";320
"150430 MARACANA";27
"150440 MARAPANIM";18
"150442 MARITUBA";162
"150445 MEDICILANDIA";47
"150450 MELGACO";15
"150460 MOCAJUBA";27
"150470 MOJU";50
"150480 MONTE ALEGRE";56
"150490 MUANA";42
"150495 NOVA ESPERANCA DO PIRIA";32
"150497 NOVA IPIXUNA";15
"150500 NOVA TIMBOTEUA";6
"150503 NOVO PROGRESSO";47
"150506 NOVO REPARTIMENTO";54
"150510 OBIDOS";65
"150520 OEIRAS DO PARA";15
"150530 ORIXIMINA";93
"150540 OUREM";24
"150543 OURILANDIA DO NORTE";206
"150548 PACAJA";37
"150549 PALESTINA DO PARA";20
"150550 PARAGOMINAS";177
"150553 PARAUAPEBAS";345
"150555 PAU D'ARCO";22
"150563 PICARRA";27
"150565 PLACAS";39
"150570 PONTA DE PEDRAS";20
"150580 PORTEL";49
"150590 PORTO DE MOZ";49
"150600 PRAINHA";24
"150610 PRIMAVERA";10
"150613 REDENCAO";288
"150616 RIO MARIA";86
"150618 RONDON DO PARA";60
"150619 RUROPOLIS";31
"150620 SALINOPOLIS";47
"150630 SALVATERRA";19
"150640 SANTA CRUZ DO ARARI";15
"150650 SANTA IZABEL DO PARA";60
